INFO 2025-09-05 15:44:31,387 basehttp 16672 11272 "POST /api/token/verify/ HTTP/1.1" 200 2
WARNING 2025-09-05 15:44:31,434 log 16672 8168 Unauthorized: /api/notifications/
INFO 2025-09-05 15:44:31,439 basehttp 16672 11272 "GET /api/notifications/ HTTP/1.1" 200 233
WARNING 2025-09-05 15:44:31,445 basehttp 16672 8168 "GET /api/notifications/?limit=5 HTTP/1.1" 401 183
WARNING 2025-09-05 15:44:31,454 log 16672 8168 Unauthorized: /api/notifications/
INFO 2025-09-05 15:44:31,466 basehttp 16672 9784 "GET /api/notifications/unread-count/ HTTP/1.1" 200 11
WARNING 2025-09-05 15:44:31,467 basehttp 16672 8168 "GET /api/notifications/?limit=5 HTTP/1.1" 401 183
INFO 2025-09-05 15:44:31,468 basehttp 16672 13040 "GET /api/notifications/ HTTP/1.1" 200 233
INFO 2025-09-05 15:44:51,887 basehttp 16672 13040 "GET /api/products/ HTTP/1.1" 200 5316
INFO 2025-09-05 15:44:52,049 basehttp 16672 9784 "GET /api/products/ HTTP/1.1" 200 5316
INFO 2025-09-05 15:45:00,936 basehttp 16672 9784 "OPTIONS /api/token/ HTTP/1.1" 200 0
INFO 2025-09-05 15:45:03,443 basehttp 16672 9784 "POST /api/token/ HTTP/1.1" 200 734
INFO 2025-09-05 15:45:03,455 basehttp 16672 9784 "OPTIONS /api/user/profile/ HTTP/1.1" 200 0
INFO 2025-09-05 15:45:03,467 basehttp 16672 9784 "GET /api/user/profile/ HTTP/1.1" 200 98
INFO 2025-09-05 15:45:03,566 basehttp 16672 9784 "POST /api/token/verify/ HTTP/1.1" 200 2
INFO 2025-09-05 15:45:03,620 basehttp 16672 9784 "GET /api/user/profile/ HTTP/1.1" 200 98
INFO 2025-09-05 15:45:03,732 basehttp 16672 13040 "GET /api/products/ HTTP/1.1" 200 5316
INFO 2025-09-05 15:45:03,835 basehttp 16672 9784 "GET /api/products/ HTTP/1.1" 200 5316
INFO 2025-09-05 15:45:08,112 basehttp 16672 9784 "OPTIONS /api/cart/items/ HTTP/1.1" 200 0
INFO 2025-09-05 15:45:08,175 basehttp 16672 9784 "POST /api/cart/items/ HTTP/1.1" 201 899
INFO 2025-09-05 15:45:11,930 basehttp 16672 9784 "POST /api/token/verify/ HTTP/1.1" 200 2
INFO 2025-09-05 15:45:11,932 basehttp 16672 13040 "OPTIONS /api/cart/ HTTP/1.1" 200 0
INFO 2025-09-05 15:45:11,943 basehttp 16672 8168 "OPTIONS /api/cart/ HTTP/1.1" 200 0
INFO 2025-09-05 15:45:11,979 basehttp 16672 13040 "GET /api/user/profile/ HTTP/1.1" 200 98
INFO 2025-09-05 15:45:12,011 basehttp 16672 8168 "GET /api/cart/ HTTP/1.1" 200 1031
INFO 2025-09-05 15:45:12,055 basehttp 16672 13040 "GET /api/cart/ HTTP/1.1" 200 1031
INFO 2025-09-05 15:45:15,844 basehttp 16672 13040 "OPTIONS /api/cart/items/95/ HTTP/1.1" 200 0
INFO 2025-09-05 15:45:15,873 basehttp 16672 13040 "DELETE /api/cart/items/95/ HTTP/1.1" 204 0
INFO 2025-09-05 15:45:15,924 basehttp 16672 13040 "GET /api/cart/ HTTP/1.1" 200 130
INFO 2025-09-05 15:45:17,924 basehttp 16672 13040 "POST /api/token/verify/ HTTP/1.1" 200 2
INFO 2025-09-05 15:45:17,995 basehttp 16672 8168 "GET /api/user/profile/ HTTP/1.1" 200 98
INFO 2025-09-05 15:45:18,130 basehttp 16672 13040 "GET /api/products/ HTTP/1.1" 200 5316
INFO 2025-09-05 15:45:18,257 basehttp 16672 8168 "GET /api/products/ HTTP/1.1" 200 5316
INFO 2025-09-05 15:45:22,320 basehttp 16672 8168 "POST /api/cart/items/ HTTP/1.1" 201 605
INFO 2025-09-05 15:45:26,709 basehttp 16672 8168 "POST /api/token/verify/ HTTP/1.1" 200 2
INFO 2025-09-05 15:45:26,772 basehttp 16672 8168 "GET /api/user/profile/ HTTP/1.1" 200 98
INFO 2025-09-05 15:45:29,685 basehttp 16672 8168 "POST /api/token/verify/ HTTP/1.1" 200 2
INFO 2025-09-05 15:45:29,686 basehttp 16672 13040 "OPTIONS /api/orders/ HTTP/1.1" 200 0
INFO 2025-09-05 15:45:29,689 basehttp 16672 9784 "OPTIONS /api/orders/ HTTP/1.1" 200 0
INFO 2025-09-05 15:45:29,725 basehttp 16672 9784 "GET /api/orders/ HTTP/1.1" 200 410
INFO 2025-09-05 15:45:29,750 basehttp 16672 8168 "GET /api/user/profile/ HTTP/1.1" 200 98
INFO 2025-09-05 15:45:29,764 basehttp 16672 13040 "GET /api/orders/ HTTP/1.1" 200 410
INFO 2025-09-05 15:45:33,522 basehttp 16672 13040 "OPTIONS /api/cart/clear/ HTTP/1.1" 200 0
WARNING 2025-09-05 15:45:33,591 log 16672 13040 Not Found: /api/cart/clear/
WARNING 2025-09-05 15:45:33,592 basehttp 16672 13040 "DELETE /api/cart/clear/ HTTP/1.1" 404 16389
INFO 2025-09-05 15:45:50,137 basehttp 16672 3504 "OPTIONS /api/token/verify/ HTTP/1.1" 200 0
WARNING 2025-09-05 15:45:50,142 log 16672 3504 Unauthorized: /api/token/verify/
WARNING 2025-09-05 15:45:50,144 basehttp 16672 3504 "POST /api/token/verify/ HTTP/1.1" 401 65
INFO 2025-09-05 15:45:50,158 basehttp 16672 3504 "OPTIONS /api/token/refresh/ HTTP/1.1" 200 0
INFO 2025-09-05 15:45:50,166 basehttp 16672 3504 "POST /api/token/refresh/ HTTP/1.1" 200 635
INFO 2025-09-05 15:45:50,177 basehttp 16672 3504 "OPTIONS /api/user/profile/ HTTP/1.1" 200 0
INFO 2025-09-05 15:45:50,198 basehttp 16672 3504 "GET /api/user/profile/ HTTP/1.1" 200 98
INFO 2025-09-05 15:45:50,265 basehttp 16672 16616 "GET /api/products/ HTTP/1.1" 200 5316
INFO 2025-09-05 15:45:50,391 basehttp 16672 3504 "GET /api/products/ HTTP/1.1" 200 5316
INFO 2025-09-05 15:45:50,720 basehttp 16672 7388 "GET /media/products/default_sBM0vdc.jpg HTTP/1.1" 304 0
INFO 2025-09-05 15:45:50,728 basehttp 16672 7388 "GET /media/products/images_NbgOIS6.jpg HTTP/1.1" 304 0
INFO 2025-09-05 15:45:50,738 basehttp 16672 7388 "GET /media/products/images_0SdJHkH.jpg HTTP/1.1" 304 0
INFO 2025-09-05 15:45:55,434 basehttp 16672 3504 "POST /api/token/verify/ HTTP/1.1" 200 2
INFO 2025-09-05 15:45:55,438 basehttp 16672 16616 "OPTIONS /api/cart/ HTTP/1.1" 200 0
INFO 2025-09-05 15:45:55,444 basehttp 16672 3504 "OPTIONS /api/cart/ HTTP/1.1" 200 0
INFO 2025-09-05 15:45:55,513 basehttp 16672 16616 "GET /api/cart/ HTTP/1.1" 200 737
INFO 2025-09-05 15:45:55,556 basehttp 16672 3504 "GET /api/user/profile/ HTTP/1.1" 200 98
INFO 2025-09-05 15:45:55,585 basehttp 16672 4236 "GET /api/cart/ HTTP/1.1" 200 737
INFO 2025-09-05 15:45:58,025 basehttp 16672 4236 "OPTIONS /api/cart/items/96/ HTTP/1.1" 200 0
INFO 2025-09-05 15:45:58,085 basehttp 16672 4236 "DELETE /api/cart/items/96/ HTTP/1.1" 204 0
